course_id,listing_code,listed_in,rule,kept_as
100659,ORALCOMM 217,ORALCOMM,collapsed_cross_listing,ORALCOMM 117
101403,ACCT 691,ACCT,collapsed_cross_listing,GSBGEN 691
101403,FINANCE 691,FINANCE,collapsed_cross_listing,GSBGEN 691
101403,HRMGT 691,HRMGT,collapsed_cross_listing,GSBGEN 691
101403,MGTECON 691,MGTECON,collapsed_cross_listing,GSBGEN 691
101403,MKTG 691,MKTG,collapsed_cross_listing,GSBGEN 691
101403,OB 691,OB,collapsed_cross_listing,GSBGEN 691
101403,OIT 691,OIT,collapsed_cross_listing,GSBGEN 691
101403,POLECON 691,POLECON,collapsed_cross_listing,GSBGEN 691
101403,STRAMGT 691,STRAMGT,collapsed_cross_listing,GSBGEN 691
101406,ACCT 692,ACCT,collapsed_cross_listing,GSBGEN 692
101406,FINANCE 692,FINANCE,collapsed_cross_listing,GSBGEN 692
101406,HRMGT 692,HRMGT,collapsed_cross_listing,GSBGEN 692
101406,MGTECON 692,MGTECON,collapsed_cross_listing,GSBGEN 692
101406,MKTG 692,MKTG,collapsed_cross_listing,GSBGEN 692
101406,OB 692,OB,collapsed_cross_listing,GSBGEN 692
101406,OIT 692,OIT,collapsed_cross_listing,GSBGEN 692
101406,POLECON 692,POLECON,collapsed_cross_listing,GSBGEN 692
101406,STRAMGT 692,STRAMGT,collapsed_cross_listing,GSBGEN 692
101410,FINANCE 802,FINANCE,collapsed_cross_listing,ACCT 802
101410,GSBGEN 802,GSBGEN,collapsed_cross_listing,ACCT 802
101410,HRMGT 802,HRMGT,collapsed_cross_listing,ACCT 802
101410,MGTECON 802,MGTECON,collapsed_cross_listing,ACCT 802
101410,MKTG 802,MKTG,collapsed_cross_listing,ACCT 802
101410,OB 802,OB,collapsed_cross_listing,ACCT 802
101410,OIT 802,OIT,collapsed_cross_listing,ACCT 802
101410,POLECON 802,POLECON,collapsed_cross_listing,ACCT 802
101410,STRAMGT 802,STRAMGT,collapsed_cross_listing,ACCT 802
101503,EDUC 165,EDUC,collapsed_cross_listing,AMSTUD 165
101503,EDUC 265,EDUC,collapsed_cross_listing,AMSTUD 165
101503,HISTORY 158C,HISTORY,collapsed_cross_listing,AMSTUD 165
101551,EDUC 193B,EDUC,collapsed_cross_listing,CHILATST 193B
101553,EDUC 193F,EDUC,collapsed_cross_listing,ASNAMST 193F
101562,SOC 134,SOC,collapsed_cross_listing,EDUC 197
