item,position,name
I01,A,Planetary Geophysics And Remote Sensing
I01,B,Earth and Planetary Sciences Research
I01,C,"Structural Geology, Tectonics, Geophysics"
I01,D,"Imperial Russia, Ukraine, Modern Europe"
I01,E,Earth Systems Capstone And Research
I02,A,Integrated Circuit Design And Semiconductor Devices
I02,B,Applied Valuation And Investment Analysis
I02,C,Engineering Directed Research And Theses
I02,D,EE Independent Projects And Practical Training
I02,E,Prototyping Manufacturing And Capstone Design
I03,A,Physical Education Swimming and Horsemanship
I03,B,Health Related Fitness Training And Injury Prevention
I03,C,Emerging Viral Diseases And Biosecurity
I03,D,Sport Skill Instruction And Competitive Athletics
I03,E,Outdoor Adventure Skills And Safety
I04,A,"Linguistic Theory, Sociolinguistics, and Research"
I04,B,Spanish Portuguese Multitrack Proficiency Courses
I04,C,"Graduate Algebra, Geometry, Topology"
I04,D,Academic English Literacy And Teaching Methods
I04,E,French Italian Proficiency With Study Abroad
I05,A,International Business Law And Arbitration
I05,B,"Negotiation, Mediation And Dispute Resolution"
I05,C,Lawyer Regulation And Litigation Practice Norms
I05,D,Sport Skill Instruction And Competitive Athletics
I05,E,"Supreme Court Practice, Moot Court Competition"
I06,A,Theories of Religion and Religious Studies
I06,B,Theater History Dramaturgy And Playwriting
I06,C,Shakespeare And Early Modern Drama
I06,D,Dramatic Literature And Theatrical Genres
I06,E,Studio Acting And Devised Performance
I07,A,Tonal Theory Musicianship And Jazz Studies
I07,B,Jazz World And Vocal Ensembles
I07,C,Audition-Based Instrument Class And Lesson Signups
I07,D,Composition Seminars Orchestration And Improvisation Collectives
I07,E,American And Latin American Studies
I08,A,Russian Empire and Soviet Europe
I08,B,"Feminist, Queer, and Trans Studies"
I08,C,Ottoman Legacies And Modern Middle East
I08,D,Anglo-American Revolutions and Survey Histories
I08,E,Criminal Justice Doctrine And Clinics
I09,A,Mechanical Design And Product Realization
I09,B,Urban Planning And Sustainable Cities
I09,C,Housing Policy And Urban Law
I09,D,Urban Studies And Inequality
I09,E,Sociology Research Training Seminars
I10,A,Public Speaking and Presentation Skills
I10,B,Classical Literature In Translation Seminars
I10,C,Secondary English And World Language Teaching Methods
I10,D,Academic Writing And Thesis Support
I10,E,English for Non-Native Speakers
I11,A,Quantum Computing And Information
I11,B,Undergraduate Physics Research And Laboratory
I11,C,Modern Physics And Quantum Mechanics
I11,D,South Asian Language Instruction
I11,E,"Astrophysics, Cosmology, And Observational Astronomy"
I12,A,Jurisprudential Schools And Critical Legal Movements
I12,B,Legal History Across National Traditions
I12,C,Scholarly Organization Theory And Analysis
I12,D,Rule Of Law Statebuilding And Anticorruption
I12,E,"Legal Philosophy, Gender, Sexuality Law"
I13,A,Ancient Mediterranean Art And Reception
I13,B,Medieval Studies Sources And Methods
I13,C,Archaeological Theory Methods And Heritage
I13,D,Classical Literature In Translation Seminars
I13,E,Scholarly Organization Theory And Analysis
I14,A,Economics And Finance Of Education
I14,B,Education Data Science and Statistics
I14,C,Disability Studies In Education
I14,D,Academic Career And Graduate Success
I14,E,Perioperative Anesthesiology Clerkships And Subinternships
I15,A,Hydrology And Environmental Fluid Mechanics
I15,B,Shipboard Oceanography and Estuarine Biogeochemistry
I15,C,"Environmental, Climate and Natural Resources Law"
I15,D,Water and Wastewater Treatment Engineering
I15,E,Indigenous Environmental Knowledge And Sovereignty
I16,A,AI Regulation Privacy Law Practicums
I16,B,Foundations Of AI And Language Models
I16,C,Internet Speech Governance And Content Moderation
I16,D,Human-Centered AI Design Ethics Studios
I16,E,Documentary Production And Screenwriting Practice
I17,A,"Genetic Counseling, Epidemiology, and Bioethics"
I17,B,Public Health Equity and Policy
I17,C,Hospital Clerkship Rotations
I17,D,Biodesign and Organ System Medicine
I17,E,Slavic Central European Language Courses
I18,A,Criminal Justice Doctrine And Clinics
I18,B,AI Regulation Privacy Law Practicums
I18,C,"Asylum, Atrocity Accountability, Border Governance"
I18,D,Western Political Philosophy From Machiavelli
I18,E,China Reform and Global Development History
I19,A,Equitable Electrification Law And Policy Practicums
I19,B,Carbon Markets And Climate Tech Economics
I19,C,"Founding, Reconstruction And Constitutional Change Over Time"
I19,D,Sustainable Energy Transitions And Equity
I19,E,Environmental and Climate Economics Policy
I20,A,"Filipino, Hawaiian, Samoan, Haitian Creole"
I20,B,Communicative Swahili Zulu Amharic Sequences
I20,C,Hybrid Distance Indigenous Language Sequences
I20,D,Igbo Twi Tigrinya Continuation Courses
I20,E,Faculty-Supervised Doctoral Dissertation Research
I21,A,Indo-Pacific Great Power Rivalry And Strategy
I21,B,National Security Technology Innovation
I21,C,Learning Sciences And Technology Design
I21,D,International Relations Thesis and Capstone Research
I21,E,American Foreign Policymaking Intervention And Economic Statecraft
I22,A,Hands-On Data Analysis And Capstones
