layer,cluster,name,n,coassign_mean_seeds,coassign_min_seeds,coassign_mean_subsamples,coassign_min_subsamples,n_runs_subsamples
0,0,Frosh 101 Residence Seminars,22,0.9909090909090909,0.9090909090909091,1.0,1.0,10
0,1,Turkish Language Instruction,18,1.0,1.0,1.0,1.0,10
0,2,Intermediate Photography Practice And Theory,35,0.9771428571428572,0.9428571428571428,0.9152754342431763,0.3096774193548387,10
0,3,Intellectual Property Law,43,0.855924695459579,0.38205980066445183,0.9194793575370076,0.8238636363636364,10
0,4,South Asian Language Instruction,26,0.9307692307692308,0.3076923076923077,1.0,1.0,10
0,5,Multilevel Cantonese Conversation And Cantopop Culture,19,1.0,1.0,1.0,1.0,10
0,6,German Proficiency Sequences And Berlin Study,23,0.9913043478260869,0.9130434782608695,0.9894736842105264,0.8947368421052632,10
0,7,Francophone French Proficiency And Composition,26,1.0,1.0,0.9904761904761905,0.9047619047619048,10
0,8,Italian Proficiency And Florence Preparation,21,0.9047619047619048,0.9047619047619048,0.9303362573099415,0.875,10
0,9,Vietnamese and Khmer Language Sequences,12,1.0,1.0,1.0,1.0,10
0,10,Graduate East Asian Humanities Training,13,1.0,1.0,0.9,0.0,10
0,11,Arabic Language Proficiency Sequence,23,1.0,1.0,1.0,1.0,10
0,12,Modern Persian Language Instruction,12,1.0,1.0,1.0,1.0,10
0,13,Hybrid Distance Indigenous Language Sequences,32,0.8401209677419355,0.41935483870967744,0.9916666666666666,0.9166666666666666,10
0,14,Departmental CPT Degree Completion Requirements,18,0.8294117647058824,0.6928104575163399,0.8157956259426846,0.3076923076923077,10
0,15,"Filipino, Hawaiian, Samoan, Haitian Creole",19,0.9485380116959063,0.7953216374269005,0.8557352941176471,0.55,10
0,16,Multiyear Russian Ukrainian Romanian Proficiency,38,0.7596017069701281,0.4907539118065434,0.7245266100650352,0.5076923076923077,10
0,17,Beginning Polish Czech Hungarian Finnish,35,0.6805042016806723,0.2218487394957983,0.732193182163476,0.3226381461675579,10
0,18,Multiyear Japanese Language Culture Communication Sequence,58,0.7570477918935269,0.1306715063520871,0.797346020571209,0.10904255319148937,10
0,19,Korean Interpersonal Interpretive Presentational Proficiency Courses,24,0.927536231884058,0.6195652173913043,0.9888888888888889,0.8888888888888888,10
0,20,Voice Class and Vocal Pedagogy,27,0.9259259259259259,0.9259259259259259,0.9371844532279313,0.9,10
0,21,Terminal Graduate Registration Dissertation Courses,34,0.6181818181818183,0.23529411764705882,0.8315425315425315,0.41595441595441596,10
