item,layer,cluster,condition,sample,name_shown,shown_clusters,true_pos,scores,pm,top1
L0C0,0,0,gold,0,Frosh 101 Residence Seminars,"[14, 0, 73, 26, 74]",1,"[0, 98, 2, 2, 2]",0.9423076923076923,True
L0C0,0,0,gold,1,Frosh 101 Residence Seminars,"[74, 0, 73, 14, 26]",1,"[2, 98, 1, 1, 1]",0.9514563106796117,True
L0C0,0,0,gold,2,Frosh 101 Residence Seminars,"[26, 74, 14, 73, 0]",4,"[2, 5, 1, 3, 100]",0.9009009009009009,True
L0C0,0,0,shuffled,0,Political Science Methodology and Research,"[73, 74, 14, 0, 26]",3,"[30, 45, 5, 2, 15]",0.020618556701030927,False
L0C0,0,0,gimme,0,Frosh 101 Residence Seminars,"[111, 0, 202, 142, 86]",1,"[2, 100, 1, 1, 1]",0.9523809523809523,True
L0C5,0,5,gold,0,Multilevel Cantonese Conversation And Cantopop Culture,"[33, 15, 5, 34, 9]",2,"[15, 5, 90, 15, 3]",0.703125,True
L0C5,0,5,gold,1,Multilevel Cantonese Conversation And Cantopop Culture,"[9, 15, 33, 5, 34]",3,"[5, 5, 15, 92, 10]",0.7244094488188977,True
L0C5,0,5,gold,2,Multilevel Cantonese Conversation And Cantopop Culture,"[5, 34, 33, 15, 9]",0,"[95, 10, 15, 5, 5]",0.7307692307692307,True
L0C5,0,5,shuffled,0,"Democratic Erosion, Polarization, Representation","[15, 33, 34, 5, 9]",3,"[5, 5, 5, 5, 5]",0.2,False
L0C5,0,5,gimme,0,Multilevel Cantonese Conversation And Cantopop Culture,"[162, 5, 219, 144, 177]",1,"[0, 97, 0, 0, 0]",1.0,True
L0C7,0,7,gold,0,Francophone French Proficiency And Composition,"[17, 52, 8, 6, 7]",4,"[5, 10, 8, 8, 90]",0.743801652892562,True
L0C7,0,7,gold,1,Francophone French Proficiency And Composition,"[52, 6, 17, 7, 8]",3,"[5, 3, 2, 90, 4]",0.8653846153846154,True
L0C7,0,7,gold,2,Francophone French Proficiency And Composition,"[7, 6, 8, 52, 17]",0,"[95, 10, 15, 10, 5]",0.7037037037037037,True
L0C7,0,7,shuffled,0,"Crime, Punishment, Policing, Mass Incarceration","[6, 8, 52, 7, 17]",3,"[2, 2, 2, 2, 2]",0.2,False
L0C7,0,7,gimme,0,Francophone French Proficiency And Composition,"[187, 7, 149, 165, 157]",1,"[2, 97, 1, 1, 1]",0.9509803921568627,True
L0C11,0,11,gold,0,Arabic Language Proficiency Sequence,"[11, 12, 4, 1, 28]",0,"[98, 10, 8, 12, 8]",0.7205882352941176,True
L0C11,0,11,gold,1,Arabic Language Proficiency Sequence,"[4, 11, 12, 1, 28]",1,"[10, 98, 15, 15, 10]",0.6621621621621622,True
L0C11,0,11,gold,2,Arabic Language Proficiency Sequence,"[28, 12, 4, 11, 1]",3,"[5, 10, 5, 98, 5]",0.7967479674796748,True
L0C11,0,11,shuffled,0,General And Subspecialty Surgery Rotations,"[4, 1, 28, 11, 12]",3,"[2, 2, 2, 2, 2]",0.2,False
L0C11,0,11,gimme,0,Arabic Language Proficiency Sequence,"[128, 11, 284, 137, 63]",1,"[0, 100, 0, 0, 0]",1.0,True
L0C13,0,13,gold,0,Hybrid Distance Indigenous Language Sequences,"[17, 28, 15, 13, 52]",3,"[20, 30, 40, 90, 5]",0.4864864864864865,True
L0C13,0,13,gold,1,Hybrid Distance Indigenous Language Sequences,"[15, 13, 28, 52, 17]",1,"[40, 85, 30, 10, 5]",0.5,True
L0C13,0,13,gold,2,Hybrid Distance Indigenous Language Sequences,"[17, 52, 15, 13, 28]",3,"[15, 10, 45, 75, 30]",0.42857142857142855,True
L0C13,0,13,shuffled,0,Senior Thesis MFA Professional Practice,"[28, 15, 17, 52, 13]",4,"[3, 3, 3, 3, 3]",0.2,False
L0C13,0,13,gimme,0,Hybrid Distance Indigenous Language Sequences,"[193, 13, 145, 156, 146]",1,"[2, 97, 1, 3, 1]",0.9326923076923077,True
L0C24,0,24,gold,0,Chinese Language Proficiency Sequences,"[34, 33, 5, 24, 261]",3,"[75, 55, 40, 70, 5]",0.2857142857142857,False
L0C24,0,24,gold,1,Chinese Language Proficiency Sequences,"[34, 261, 5, 24, 33]",3,"[85, 10, 60, 75, 55]",0.2631578947368421,False
L0C24,0,24,gold,2,Chinese Language Proficiency Sequences,"[24, 33, 261, 5, 34]",0,"[90, 70, 10, 40, 80]",0.3103448275862069,True
L0C24,0,24,shuffled,0,South Asian Language Instruction,"[5, 34, 33, 261, 24]",4,"[40, 45, 45, 10, 25]",0.15151515151515152,False
L0C24,0,24,gimme,0,Chinese Language Proficiency Sequences,"[227, 86, 59, 78, 24]",4,"[0, 0, 0, 0, 98]",1.0,True
L0C28,0,28,gold,0,Communicative Swahili Zulu Amharic Sequences,"[28, 27, 17, 23, 15]",0,"[95, 40, 5, 10, 30]",0.5277777777777778,True
L0C28,0,28,gold,1,Communicative Swahili Zulu Amharic Sequences,"[27, 28, 17, 15, 23]",1,"[40, 90, 5, 45, 5]",0.4864864864864865,True
L0C28,0,28,gold,2,Communicative Swahili Zulu Amharic Sequences,"[28, 15, 23, 17, 27]",0,"[92, 40, 5, 10, 45]",0.4791666666666667,True
L0C28,0,28,shuffled,0,Comparative Global Urban History Methods,"[28, 23, 17, 15, 27]",0,"[3, 3, 3, 3, 3]",0.2,False
L0C28,0,28,gimme,0,Communicative Swahili Zulu Amharic Sequences,"[126, 324, 190, 240, 28]",4,"[2, 1, 1, 2, 98]",0.9423076923076923,True
L0C31,0,31,gold,0,Faculty-Sponsored CPT Employment Reporting,"[30, 84, 14, 31, 299]",3,"[55, 2, 40, 90, 0]",0.48128342245989303,True
L0C31,0,31,gold,1,Faculty-Sponsored CPT Employment Reporting,"[84, 14, 299, 31, 30]",3,"[5, 60, 3, 92, 55]",0.42790697674418604,True
